system:index,Date,ElevationBin,MeanBackscatter,.geo
1_1_1_1_1_1_2_11_13,2020-05-19,1333-1383,-7.485199327282191,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_14,2020-05-19,1383-1433,-2.188201563862447,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_0,2020-05-31,683-733,-23.351052229492556,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_1,2020-05-31,733-783,-24.1292449744006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_2,2020-05-31,783-833,-25.560382907806357,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_3,2020-05-31,833-883,-24.765349667023354,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_4,2020-05-31,883-933,-25.70432359860173,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_5,2020-05-31,933-983,-25.120589658724697,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_6,2020-05-31,983-1033,-24.30764843676438,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_7,2020-05-31,1033-1083,-23.26803382647407,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_8,2020-05-31,1083-1133,-24.65354169158882,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_9,2020-05-31,1133-1183,-24.166409403701476,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_10,2020-05-31,1183-1233,-22.36461681205725,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_11,2020-05-31,1233-1283,-24.123149533052306,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_12,2020-05-31,1283-1333,-24.240889199103282,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_13,2020-05-31,1333-1383,-18.884567574281178,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_14,2020-05-31,1383-1433,-9.501777282461331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_0,2020-06-12,683-733,-22.38643898903223,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_1,2020-06-12,733-783,-21.20229013264153,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_2,2020-06-12,783-833,-21.403042344349316,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_3,2020-06-12,833-883,-24.169286553113682,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_4,2020-06-12,883-933,-23.929651003620858,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_5,2020-06-12,933-983,-23.677141278019363,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_6,2020-06-12,983-1033,-23.551629046247548,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_7,2020-06-12,1033-1083,-21.65771835859904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_8,2020-06-12,1083-1133,-24.109555620389937,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_9,2020-06-12,1133-1183,-23.831970196326978,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_10,2020-06-12,1183-1233,-22.97570826137478,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_11,2020-06-12,1233-1283,-24.29989571347845,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_12,2020-06-12,1283-1333,-25.03698834501008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_13,2020-06-12,1333-1383,-23.355422481420483,"{""type"":""MultiPoint"",""coordinates"":[]}"
